backend,GPU,precision,vec_size,routine,BW_GBs
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3585.0667
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3646.6758
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3621.5845
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3644.4727
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3524.1394
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3575.516
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3668.3538
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3444.7483
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3523.4224
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3195.2417
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3612.3247
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3472.3755
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3528.5168
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3579.8076
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3281.968
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3366.764
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3310.7278
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3551.6497
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3455.3904
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3624.029
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3477.0981
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3529.4448
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3368.2637
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3538.3074
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3453.8342
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3423.0046
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3503.8762
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3577.8992
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3360.2314
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3506.3936
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3522.4976
